platform_id,chunk_size,prefetch_window,static_ratio,static_budget_bytes,static_selected_bytes,bufferpool_bytes,median_prefill_s,median_decode_avg_s,median_decode_ms_per_token,median_decode_tokens_per_s
8c16g,64,1,0.0,0,0,12025908428,7.783414031,5.600310021,5600.3100206,0.178561543
8c16g,64,1,0.25,3006477107,2972712960,9019431321,47.129258057,2.268224311,2268.2243114,0.440873504
8c16g,64,1,0.5,6012954214,5166858240,6012954214,73.425139845,2.014382838,2014.3828378,0.496429964
8c16g,64,1,0.75,9019431321,5166858240,3006477107,73.102938152,2.005728615,2005.728615,0.498571937
8c16g,128,1,0.0,0,0,12025908428,4.435816893,1.178459935,1178.4599348,0.848565123
8c16g,128,1,0.25,3006477107,2972712960,9019431321,35.902811907,1.711559472,1711.559472,0.584262491
8c16g,128,1,0.5,6012954214,5166858240,6012954214,54.824301878,1.550128947,1550.1289472,0.645107623
8c16g,128,1,0.75,9019431321,5166858240,3006477107,55.871288715,1.554641867,1554.6418666,0.643234961
8c16g,256,1,0.0,0,0,12025908428,2.788337169,0.976822572,976.8225718,1.023727368
8c16g,256,1,0.25,3006477107,2972712960,9019431321,31.504735652,1.313544289,1313.5442886,0.761299036
8c16g,256,1,0.5,6012954214,5166858240,6012954214,48.887229498,1.23585139,1235.8513902,0.809158777
8c16g,256,1,0.75,9019431321,5166858240,3006477107,52.461268204,1.216834564,1216.8345644,0.821804401
8c16g,512,1,0.0,0,0,12025908428,1.9261156,0.832713073,832.7130728,1.20089384
8c16g,512,1,0.25,3006477107,2972712960,9019431321,30.819406164,0.957677609,957.6776092,1.044192733
8c16g,512,1,0.5,6012954214,5166858240,6012954214,52.063958383,0.957303601,957.303601,1.044600688
8c16g,512,1,0.75,9019431321,5166858240,3006477107,52.01279403,0.945298123,945.298123,1.057867328
